event_count,avg_time_delta,max_time_delta,min_time_delta,std_time_delta,unique_processes,unique_commands,total_processes,total_commands,top_process_freq,process_entropy,avg_command_length,max_command_length,min_command_length,cmd_entropy,suspicious_patterns,contains_sudo,contains_pipe,contains_redirect,filename,original_category,label
713,3.4621306182293408,259.62600016593933,0.0,15.91312782353161,39,84,713,713,200,3.71078713142942,21.601683029453014,146,2,5.3547887726172485,32,8,0,0,"parsed_benign","benign",1
126,7.957407999038696,36.81669998168945,0.006000041961669922,8.25784786198673,31,43,126,126,16,4.47643319874617,41.817460317460316,671,2,5.015118143039244,13,20,0,0,"parsed_benign_01","benign",1
139,7.232500000276428,36.412999868392944,0.0989999771118164,7.44251937899483,30,45,139,139,25,4.299337508024992,26.805755395683452,671,2,4.987214771739035,13,26,0,1,"parsed_benign_02","benign",1
161,6.202156250178814,40.08899998664856,0.017000198364257812,6.1459583944817195,32,44,161,161,25,4.366335358624466,67.0,671,2,4.972241583600926,11,36,0,2,"parsed_benign_03","benign",1
476,4.19517684233816,117.37899994850159,0.0,15.97346204310466,36,51,476,476,84,4.246096358106312,49.733193277310924,671,2,4.9012634727290925,38,104,0,6,"parsed_malicious_local","malicious_local",0
152,6.468688742214481,26.828999996185303,0.009999990463256836,6.003250902563624,30,41,151,151,32,4.207816821368967,51.71523178807947,671,2,4.96422837690911,2,38,0,3,"parsed_malicious_local_01","malicious_local",0
156,6.329987096786499,26.404399871826172,0.031000137329101562,6.333800877628819,31,44,156,156,23,4.36833702439879,42.34615384615385,671,2,4.920693575734586,11,28,0,0,"parsed_malicious_local_02","malicious_local",0
146,6.881062068610356,34.91499996185303,0.07200002670288086,6.953385386340073,32,49,146,146,22,4.354517707784693,66.67808219178082,671,2,5.104983523070726,6,31,0,3,"parsed_malicious_local_03","malicious_local",0
65,12.980875000357628,224.39199995994568,0.0,35.896513728081935,26,37,64,64,7,4.303979102437745,39.203125,146,3,4.941024413893479,12,5,0,0,"parsed_malicious_remote","malicious_remote",0
161,6.187056249380111,37.581000089645386,0.04999995231628418,6.701456230640568,33,49,161,161,29,4.418389048433864,71.73291925465838,671,2,5.150442990110022,16,40,0,2,"parsed_malicious_remote_01","malicious_remote",0
135,7.387589552509251,50.98399996757507,0.01900005340576172,7.913795171172763,31,41,135,135,23,4.311603817593763,69.3037037037037,671,2,4.939298565751773,7,33,0,1,"parsed_malicious_remote_02","malicious_remote",0
137,7.199610294664607,47.99499988555908,0.005000114440917969,8.249858142770506,29,41,135,135,27,4.1722901875371345,46.67407407407408,671,2,4.913041462728323,7,32,0,1,"parsed_malicious_remote_03","malicious_remote",0
