event_count,avg_time_delta,max_time_delta,min_time_delta,std_time_delta,unique_processes,unique_commands,total_processes,total_commands,top_process_freq,process_entropy,avg_command_length,max_command_length,min_command_length,cmd_entropy,suspicious_patterns,contains_sudo,contains_pipe,contains_redirect,filename,original_category,label
476,4.19517684233816,117.37899994850159,0.0,15.97346204310466,36,51,476,476,84,4.246096358106312,49.733193277310924,671,2,4.9012634727290925,38,104,0,6,"parsed_malicious_local","malicious_local",0
152,6.468688742214481,26.828999996185303,0.009999990463256836,6.003250902563624,30,41,151,151,32,4.207816821368967,51.71523178807947,671,2,4.96422837690911,2,38,0,3,"parsed_malicious_local_01","malicious_local",0
156,6.329987096786499,26.404399871826172,0.031000137329101562,6.333800877628819,31,44,156,156,23,4.36833702439879,42.34615384615385,671,2,4.920693575734586,11,28,0,0,"parsed_malicious_local_02","malicious_local",0
146,6.881062068610356,34.91499996185303,0.07200002670288086,6.953385386340073,32,49,146,146,22,4.354517707784693,66.67808219178082,671,2,5.104983523070726,6,31,0,3,"parsed_malicious_local_03","malicious_local",0
