event_count,avg_time_delta,max_time_delta,min_time_delta,std_time_delta,unique_processes,unique_commands,total_processes,total_commands,top_process_freq,process_entropy,avg_command_length,max_command_length,min_command_length,cmd_entropy,suspicious_patterns,contains_sudo,contains_pipe,contains_redirect,filename,original_category,label
713,3.4621306182293408,259.62600016593933,0.0,15.91312782353161,39,84,713,713,200,3.71078713142942,21.601683029453014,146,2,5.3547887726172485,32,8,0,0,"parsed_benign","benign",1
126,7.957407999038696,36.81669998168945,0.006000041961669922,8.25784786198673,31,43,126,126,16,4.47643319874617,41.817460317460316,671,2,5.015118143039244,13,20,0,0,"parsed_benign_01","benign",1
139,7.232500000276428,36.412999868392944,0.0989999771118164,7.44251937899483,30,45,139,139,25,4.299337508024992,26.805755395683452,671,2,4.987214771739035,13,26,0,1,"parsed_benign_02","benign",1
161,6.202156250178814,40.08899998664856,0.017000198364257812,6.1459583944817195,32,44,161,161,25,4.366335358624466,67.0,671,2,4.972241583600926,11,36,0,2,"parsed_benign_03","benign",1
